speed,airbag,seatbelt,frontal,sex,age,vehYear,Deploy,injSeverity
40-54,none,none,1,m,76,1989,0,5
40-54,none,none,0,f,55,1983,0,1
40-54,none,belted,1,m,45,1986,0,0
40-54,none,belted,0,f,20,1992,0,1
40-54,none,belted,0,f,43,1992,0,1
25-39,none,belted,1,m,21,1994,0,0
40-54,none,belted,1,m,44,1988,0,0
40-54,none,belted,1,f,62,1988,0,0
25-39,airbag,belted,0,f,20,1997,1,3
25-39,airbag,belted,0,f,17,1997,1,3
25-39,none,none,1,m,24,1983,0,2
25-39,none,none,1,m,62,1983,0,2
25-39,none,none,1,f,37,1981,0,3
40-54,none,belted,1,f,82,1988,0,0
40-54,none,belted,1,f,44,1988,0,1
40-54,airbag,belted,0,f,23,1994,0,0
55+,none,belted,1,m,67,1992,0,4
55+,none,belted,1,f,64,1992,0,4
40-54,none,belted,1,m,65,1991,0,3
40-54,none,belted,0,f,42,1988,0,1
40-54,none,none,1,f,21,1989,0,1
40-54,airbag,belted,1,f,46,1996,1,1
40-54,airbag,belted,1,f,17,1996,1,1
40-54,none,belted,0,f,81,1991,0,1
55+,airbag,belted,0,m,50,1992,0,0
55+,none,belted,0,m,33,1991,0,3
40-54,airbag,belted,1,m,40,1995,1,1
40-54,airbag,belted,1,m,23,1995,0,1
40-54,airbag,none,0,f,42,1993,0,1
40-54,none,belted,1,f,17,1986,0,1
40-54,none,belted,0,m,71,1987,0,0
40-54,none,belted,1,m,66,1979,0,0
40-54,none,none,0,f,20,1989,0,1
40-54,none,none,1,m,18,1987,0,3
40-54,none,none,1,m,26,1987,0,1
55+,none,none,1,m,20,1981,0,3
55+,none,none,1,f,19,1981,0,3
40-54,none,none,0,m,18,1986,0,3
55+,none,belted,0,m,25,1979,0,3
40-54,none,belted,0,m,21,1982,0,1
40-54,none,belted,0,f,18,1982,0,1
40-54,none,belted,1,f,18,1990,0,1
40-54,none,none,1,f,20,1990,0,1
40-54,none,belted,1,m,23,1993,0,1
25-39,airbag,none,1,m,26,1992,1,3
25-39,none,none,1,m,55,1992,0,1
40-54,none,belted,0,f,37,1988,0,0
40-54,airbag,none,1,f,50,1996,1,1
40-54,none,belted,0,m,45,1981,0,5
40-54,none,belted,1,m,75,1987,0,0
40-54,airbag,belted,1,f,57,1995,1,1
40-54,none,belted,1,f,17,1989,0,0
40-54,none,belted,1,f,17,1989,0,0
40-54,airbag,belted,1,f,50,1995,1,3
40-54,none,none,0,f,77,1989,0,3
55+,airbag,none,1,m,22,1994,1,2
40-54,none,belted,0,m,53,1991,0,3
40-54,airbag,belted,0,m,42,1991,1,2
40-54,none,belted,0,m,42,1991,0,0
40-54,none,belted,1,m,20,1987,0,3
40-54,airbag,belted,1,f,43,1997,1,3
25-39,none,belted,1,m,17,1985,0,1
25-39,none,none,1,m,16,1985,0,3
25-39,airbag,none,1,f,30,1992,1,1
40-54,none,belted,1,f,61,1993,0,1
40-54,none,none,0,f,36,1983,0,1
40-54,none,none,0,f,38,1983,0,1
25-39,airbag,belted,0,m,31,1996,0,5
25-39,airbag,none,0,f,25,1996,0,5
40-54,none,belted,1,m,52,1984,0,1
40-54,none,none,0,f,46,1987,0,1
40-54,airbag,belted,1,f,30,1993,1,3
40-54,none,belted,0,m,16,1991,0,3
40-54,none,belted,0,f,16,1991,0,2
25-39,none,belted,1,m,58,1992,0,3
40-54,none,belted,1,f,18,1987,0,1
40-54,none,belted,0,m,21,1992,0,3
40-54,none,belted,0,f,17,1992,0,3
40-54,none,none,1,m,71,1986,0,2
40-54,airbag,belted,1,f,72,1994,1,2
40-54,airbag,belted,1,m,71,1994,1,1
40-54,none,belted,1,f,74,1988,0,1
40-54,none,belted,1,m,41,1985,0,1
40-54,none,belted,1,m,54,1987,0,1
40-54,none,belted,1,f,61,1987,0,1
25-39,none,none,1,m,41,1984,0,3
40-54,none,belted,1,m,17,1988,0,0
40-54,none,belted,1,f,17,1988,0,1
40-54,airbag,belted,1,m,67,1997,1,1
40-54,airbag,belted,1,f,66,1997,1,1
25-39,none,belted,0,m,23,1984,0,0
40-54,none,belted,1,m,29,1988,0,1
25-39,none,belted,1,m,46,1984,0,1
40-54,none,none,1,m,23,1986,0,2
40-54,none,none,1,m,24,1986,0,3
25-39,none,belted,1,m,67,1986,0,3
40-54,none,none,0,m,51,1985,0,3
40-54,none,none,0,m,46,1985,0,2
25-39,none,belted,1,m,63,1988,0,1
25-39,none,belted,1,f,51,1988,0,3
40-54,airbag,belted,1,f,21,1992,1,2
25-39,none,none,1,f,20,1991,0,3
40-54,airbag,belted,1,f,21,1996,1,2
40-54,none,belted,1,m,26,1996,0,0
25-39,none,none,1,m,30,1985,0,0
55+,none,none,0,f,28,1986,0,1
40-54,none,none,0,f,44,1989,0,2
40-54,none,none,0,f,30,1989,0,0
40-54,none,none,0,m,43,1995,0,1
40-54,none,none,1,m,38,1988,0,1
40-54,none,belted,1,m,59,1981,0,0
40-54,none,belted,1,m,36,1988,0,0
40-54,none,none,0,f,53,1984,0,1
40-54,airbag,belted,1,f,32,1996,0,0
40-54,airbag,belted,1,f,26,1996,0,0
25-39,airbag,belted,1,f,36,1996,0,1
25-39,none,none,1,m,39,1984,0,2
40-54,none,belted,1,m,26,1987,0,1
25-39,none,belted,1,m,28,1988,0,1
40-54,none,none,1,m,23,1983,0,1
55+,airbag,belted,0,m,49,1992,0,1
40-54,none,none,1,m,39,1994,0,1
25-39,none,belted,1,f,35,1992,0,1
25-39,none,belted,1,m,38,1990,0,1
25-39,none,belted,1,f,38,1987,0,3
25-39,none,belted,1,m,61,1987,0,0
25-39,airbag,belted,1,m,19,1996,1,1
40-54,airbag,none,1,m,22,1997,1,1
40-54,none,none,1,m,26,1986,0,0
40-54,none,none,1,f,26,1986,0,1
40-54,none,belted,1,f,32,1981,0,0
40-54,none,belted,0,f,19,1986,0,0
40-54,none,none,1,m,31,1989,0,1
40-54,none,none,1,m,31,1989,0,1
40-54,airbag,none,0,m,78,1993,1,1
40-54,airbag,none,1,m,28,1994,0,3
40-54,airbag,belted,0,m,22,1995,0,1
40-54,airbag,belted,0,f,70,1995,0,2
40-54,none,none,1,m,66,1989,0,3
55+,none,belted,0,m,43,1990,0,0
55+,none,none,1,m,21,1985,0,3
40-54,none,belted,0,f,39,1992,0,1
40-54,none,belted,1,f,17,1993,0,3
40-54,none,none,1,f,18,1993,0,3
25-39,airbag,belted,0,f,77,1995,0,1
40-54,none,none,1,f,30,1993,0,1
40-54,none,belted,0,f,22,1990,0,1
40-54,airbag,belted,1,m,56,1991,1,1
25-39,none,none,1,m,17,1987,0,3
25-39,none,none,1,m,17,1987,0,1
40-54,none,none,1,m,19,1987,0,1
25-39,airbag,belted,1,m,84,1993,1,3
25-39,none,belted,0,f,17,1989,0,3
40-54,none,belted,1,f,26,1986,0,1
25-39,airbag,belted,1,m,87,1995,1,4
40-54,airbag,belted,0,m,36,1995,0,1
40-54,airbag,belted,1,m,68,1994,1,1
40-54,none,belted,1,m,71,1994,0,1
40-54,none,belted,1,f,40,1991,0,0
40-54,airbag,belted,1,m,21,1995,1,3
40-54,none,belted,1,f,81,1993,0,3
25-39,none,belted,1,m,54,1991,0,0
25-39,airbag,belted,1,f,22,1996,1,1
25-39,none,belted,1,m,52,1988,0,2
40-54,airbag,belted,0,f,60,1997,0,1
55+,none,belted,0,f,18,1989,0,0
25-39,airbag,none,0,m,18,1994,1,3
40-54,airbag,belted,1,f,79,1994,1,3
40-54,airbag,belted,0,f,73,1994,0,3
40-54,airbag,belted,0,f,72,1994,0,3
40-54,none,belted,1,f,51,1988,0,3
40-54,airbag,none,0,m,73,1990,1,1
40-54,none,none,0,f,56,1990,0,3
25-39,none,none,1,m,59,1985,0,1
40-54,airbag,belted,0,f,23,1992,0,0
40-54,none,belted,1,f,17,1986,0,0
40-54,airbag,belted,1,m,30,1997,1,0
40-54,none,none,1,f,25,1997,0,2
25-39,none,none,1,f,56,1988,0,2
40-54,none,belted,1,m,79,1990,0,3
25-39,airbag,belted,1,f,24,1994,1,1
25-39,none,belted,1,m,22,1994,0,1
55+,none,none,1,m,25,1992,0,2
40-54,airbag,belted,1,f,73,1991,1,0
25-39,none,belted,1,m,39,1993,0,0
40-54,airbag,belted,1,f,39,1995,1,2
40-54,airbag,belted,0,m,37,1995,0,2
40-54,none,belted,1,f,74,1991,0,0
40-54,airbag,belted,0,m,77,1996,0,0
40-54,airbag,belted,0,f,76,1996,0,0
55+,none,belted,1,m,20,1989,0,0
40-54,none,belted,1,f,24,1987,0,3
25-39,none,none,1,m,41,1987,0,1
25-39,none,belted,0,m,44,1986,0,3
40-54,airbag,belted,1,m,19,1995,1,3
40-54,airbag,none,1,m,46,1995,1,3
40-54,airbag,none,1,m,86,1995,1,1
40-54,airbag,belted,0,m,62,1992,1,0
55+,none,none,1,m,23,1986,0,4
25-39,none,belted,1,m,26,1994,0,3
40-54,airbag,belted,1,m,78,1996,1,1
40-54,none,none,1,m,37,1974,0,1
40-54,airbag,belted,1,m,47,1991,1,2
40-54,none,belted,1,f,44,1991,0,2
40-54,airbag,belted,1,m,62,1994,0,2
25-39,airbag,belted,0,f,50,1994,0,3
25-39,airbag,belted,0,f,76,1994,0,3
40-54,airbag,none,1,m,51,1995,1,0
25-39,none,belted,0,f,17,1989,0,3
25-39,none,none,0,m,18,1989,0,0
40-54,none,belted,0,f,17,1989,0,3
40-54,none,none,1,f,42,1989,0,1
40-54,airbag,belted,1,f,81,1995,1,1
40-54,airbag,belted,0,f,77,1991,0,1
40-54,airbag,belted,0,m,85,1991,0,1
40-54,none,belted,0,m,83,1985,0,0
40-54,airbag,belted,1,f,72,1992,1,3
55+,none,belted,1,m,18,1986,0,3
25-39,airbag,belted,0,f,40,1996,0,1
25-39,airbag,belted,1,f,23,1996,1,1
40-54,airbag,belted,0,f,50,1995,0,1
40-54,none,belted,1,m,32,1990,0,0
40-54,airbag,none,1,m,56,1994,1,3
55+,none,belted,1,f,17,1987,0,3
40-54,airbag,belted,1,m,76,1996,1,0
40-54,airbag,belted,1,f,74,1996,1,3
40-54,airbag,belted,1,m,73,1996,1,3
25-39,none,none,1,m,38,1987,0,3
25-39,none,none,1,f,41,1987,0,3
40-54,none,none,1,m,64,1993,0,4
25-39,airbag,belted,0,f,36,1994,0,1
40-54,none,belted,1,f,18,1979,0,1
40-54,airbag,belted,0,f,80,1990,0,0
40-54,none,none,1,m,23,1988,0,3
40-54,none,belted,0,f,22,1983,0,3
40-54,airbag,belted,1,m,71,1998,0,0
40-54,airbag,belted,0,f,21,1995,0,1
40-54,none,belted,1,f,25,1990,0,1
40-54,airbag,belted,1,m,79,1997,1,3
25-39,airbag,belted,1,f,26,1995,1,2
40-54,airbag,belted,0,m,38,1994,0,0
40-54,airbag,belted,0,f,39,1994,0,1
40-54,none,belted,1,f,17,1987,0,1
25-39,none,belted,0,m,83,1992,0,3
25-39,none,belted,0,f,77,1992,0,4
25-39,none,belted,0,m,70,1987,0,1
25-39,none,belted,0,f,65,1987,0,3
25-39,none,belted,1,f,42,1988,0,0
25-39,none,none,1,f,27,1987,0,1
55+,none,belted,1,f,51,1987,0,0
55+,none,none,0,m,34,1990,0,4
55+,none,none,1,m,20,1981,0,3
40-54,airbag,belted,1,m,22,1995,1,0
40-54,none,none,0,m,28,1979,0,2
40-54,airbag,belted,1,m,37,1995,1,4
40-54,airbag,none,1,m,31,1996,1,1
40-54,none,none,0,m,68,1991,0,0
25-39,airbag,none,1,m,45,1993,1,2
40-54,airbag,belted,1,f,61,1993,1,1
55+,none,none,1,m,19,1984,0,3
40-54,airbag,belted,0,m,30,1995,0,1
40-54,airbag,belted,0,f,21,1995,0,1
55+,none,belted,0,m,22,1989,0,0
40-54,none,belted,1,m,34,1994,0,1
40-54,none,belted,0,f,29,1994,0,3
40-54,airbag,none,1,f,73,1995,1,3
40-54,airbag,belted,1,f,22,1994,1,3
40-54,none,belted,0,f,60,1986,0,3
40-54,airbag,belted,0,m,32,1993,0,1
40-54,airbag,belted,0,m,30,1993,0,1
40-54,none,belted,1,m,32,1989,0,1
40-54,none,none,1,f,20,1989,0,0
40-54,airbag,belted,1,m,73,1994,1,2
40-54,airbag,none,0,m,34,1997,0,3
40-54,airbag,belted,0,m,31,1994,0,0
40-54,airbag,belted,1,f,39,1994,0,3
40-54,none,belted,1,f,48,1989,0,0
40-54,airbag,belted,0,m,26,1997,1,3
40-54,none,belted,1,m,20,1993,0,0
40-54,airbag,belted,0,f,41,1997,0,0
40-54,airbag,belted,1,f,41,1997,1,1
40-54,none,belted,0,m,27,1992,0,3
55+,airbag,belted,0,f,54,1995,0,1
40-54,none,belted,1,m,18,1994,0,0
25-39,none,none,0,f,38,1985,0,1
25-39,none,none,0,m,29,1985,0,2
25-39,none,none,1,m,85,1986,0,3
25-39,none,none,1,f,55,1986,0,3
40-54,none,none,0,f,40,1988,0,3
25-39,none,belted,1,m,78,1993,0,2
25-39,none,belted,1,f,83,1993,0,1
25-39,airbag,none,1,f,20,1994,1,1
40-54,none,none,0,f,33,1987,0,4
40-54,none,none,0,m,37,1987,0,2
55+,airbag,belted,0,m,37,1994,1,3
40-54,none,none,1,f,18,1985,0,1
40-54,none,belted,1,f,79,1990,0,1
40-54,airbag,belted,1,f,17,1995,1,1
40-54,airbag,belted,1,f,17,1995,1,0
40-54,none,none,0,m,26,1989,0,5
40-54,none,none,0,m,20,1989,0,0
25-39,none,belted,1,m,23,1987,0,0
25-39,none,belted,1,f,19,1987,0,0
25-39,none,belted,1,m,34,1988,0,0
40-54,none,belted,1,f,34,1990,0,1
25-39,airbag,none,1,f,84,1996,1,4
40-54,none,belted,0,f,49,1985,0,1
40-54,none,belted,0,f,82,1985,0,3
40-54,none,none,0,m,87,1981,0,4
25-39,none,none,0,m,16,1989,0,2
40-54,airbag,belted,1,f,33,1994,1,1
25-39,none,belted,0,m,47,1994,0,3
40-54,none,belted,0,f,18,1990,0,1
25-39,airbag,belted,0,m,62,1994,1,3
40-54,none,belted,1,m,74,1985,0,0
25-39,none,none,1,m,37,1991,0,1
25-39,none,none,1,f,42,1991,0,3
40-54,airbag,belted,1,f,36,1995,0,0
25-39,none,none,1,f,30,1990,0,3
40-54,none,none,1,m,50,1989,0,3
40-54,none,belted,1,m,18,1979,0,3
40-54,none,none,1,m,20,1979,0,2
40-54,airbag,belted,0,f,17,1991,0,2
40-54,airbag,belted,0,f,17,1991,0,3
40-54,airbag,belted,1,m,44,1994,1,3
25-39,airbag,belted,1,f,27,1997,1,1
25-39,none,belted,1,m,58,1990,0,2
25-39,none,belted,1,m,63,1993,0,3
25-39,airbag,belted,0,m,17,1992,1,1
25-39,none,belted,1,f,18,1990,0,2
40-54,airbag,belted,1,m,28,1995,1,3
40-54,none,none,1,m,56,1995,0,1
40-54,none,belted,1,f,56,1995,0,0
25-39,none,belted,1,f,73,1989,0,1
25-39,none,belted,1,f,62,1989,0,1
40-54,airbag,belted,0,m,20,1994,1,2
40-54,airbag,belted,0,f,45,1994,1,3
40-54,airbag,none,1,f,26,1992,1,3
40-54,none,none,1,m,39,1992,0,3
25-39,airbag,belted,1,m,44,1995,1,2
25-39,airbag,belted,0,f,23,1992,1,2
25-39,none,belted,0,f,22,1992,0,3
40-54,none,belted,1,f,22,1991,0,3
40-54,none,none,1,m,49,1988,0,3
40-54,airbag,belted,0,f,24,1993,0,1
40-54,airbag,belted,0,f,50,1993,0,0
40-54,airbag,belted,1,m,47,1997,1,1
40-54,none,belted,0,m,56,1991,0,1
40-54,none,belted,1,f,38,1989,0,4
40-54,airbag,belted,0,f,33,1995,0,1
40-54,none,belted,1,m,45,1987,0,1
25-39,none,belted,1,m,17,1987,0,0
40-54,none,none,0,m,18,1993,0,0
40-54,none,none,1,m,75,1986,0,4
25-39,none,none,0,m,20,1977,0,2
25-39,none,none,0,m,22,1977,0,0
55+,airbag,belted,1,f,31,1996,1,3
40-54,airbag,none,0,f,24,1995,1,3
40-54,none,none,1,f,17,1985,0,3
40-54,none,belted,1,m,19,1985,0,2
40-54,airbag,none,0,f,62,1996,1,2
40-54,none,belted,1,m,35,1991,0,0
25-39,none,belted,1,f,25,1984,0,1
25-39,none,belted,1,f,16,1984,0,2
25-39,none,belted,1,m,33,1994,0,2
40-54,none,belted,1,f,29,1991,0,1
40-54,none,none,0,f,30,1989,0,3
25-39,airbag,belted,1,m,17,1992,1,1
25-39,airbag,belted,1,f,20,1995,1,3
25-39,airbag,belted,1,m,66,1996,1,2
40-54,none,belted,1,m,41,1989,0,3
25-39,none,belted,1,f,22,1984,0,0
25-39,none,belted,1,m,22,1984,0,0
40-54,none,belted,1,f,35,1991,0,1
40-54,none,none,0,m,37,1987,0,4
40-54,airbag,none,1,f,67,1995,1,3
40-54,airbag,belted,1,m,31,1994,1,1
40-54,none,none,1,m,31,1992,0,1
25-39,airbag,belted,0,f,18,1996,1,3
25-39,airbag,belted,0,f,18,1996,1,3
40-54,none,belted,1,m,23,1988,0,2
40-54,airbag,belted,1,f,47,1996,1,1
25-39,none,belted,1,f,39,1988,0,1
25-39,airbag,belted,1,f,24,1996,0,2
25-39,airbag,none,0,f,50,1994,1,3
40-54,none,none,1,m,19,1989,0,4
40-54,none,none,1,f,19,1989,0,1
25-39,none,none,1,m,32,1981,0,3
25-39,none,none,1,m,22,1981,0,4
25-39,airbag,belted,0,m,45,1996,0,3
40-54,airbag,belted,1,f,46,1996,1,1
40-54,none,none,1,f,28,1989,0,1
40-54,airbag,none,0,f,34,1994,1,0
55+,none,none,1,f,76,1993,0,4
40-54,none,belted,1,m,42,1987,0,2
40-54,none,none,0,f,21,1987,0,3
25-39,none,belted,1,f,20,1984,0,0
25-39,none,belted,1,f,20,1984,0,0
40-54,airbag,none,0,m,20,1996,1,1
25-39,airbag,none,0,m,21,1993,1,3
40-54,airbag,belted,1,m,28,1994,1,3
40-54,airbag,belted,1,f,36,1994,1,2
25-39,airbag,none,0,m,45,1996,0,1
25-39,airbag,none,0,f,39,1996,0,3
25-39,airbag,none,1,m,20,1994,1,0
25-39,airbag,none,1,m,20,1994,1,0
25-39,none,belted,0,m,18,1989,0,2
25-39,none,belted,0,f,17,1989,0,4
25-39,none,none,1,m,41,1993,0,1
40-54,airbag,belted,1,f,54,1991,1,3
40-54,airbag,belted,0,m,16,1992,0,0
40-54,airbag,belted,0,m,17,1992,0,0
25-39,airbag,none,1,m,25,1995,1,2
25-39,none,belted,0,f,24,1990,0,0
40-54,none,none,1,f,20,1991,0,3
40-54,none,none,1,m,22,1991,0,3
55+,none,none,0,m,24,1987,0,3
55+,none,none,0,m,33,1987,0,4
40-54,airbag,none,1,f,31,1995,1,1
40-54,none,belted,0,m,62,1987,0,3
25-39,airbag,none,1,m,31,1994,1,3
40-54,none,none,0,m,38,1986,0,0
55+,airbag,belted,0,m,33,1996,1,3
25-39,none,belted,1,m,45,1989,0,2
25-39,airbag,belted,0,m,66,1995,1,2
25-39,airbag,belted,0,f,63,1995,1,3
25-39,none,none,1,m,53,1985,0,3
25-39,none,none,1,f,42,1985,0,3
25-39,airbag,none,1,m,28,1990,1,1
25-39,none,belted,1,m,42,1990,0,3
40-54,none,none,1,m,39,1988,0,3
40-54,airbag,belted,0,m,70,1990,1,4
25-39,none,none,1,f,20,1984,0,3
25-39,none,none,1,m,23,1984,0,3
40-54,none,none,0,m,28,1991,0,1
40-54,none,belted,0,m,19,1991,0,0
25-39,airbag,none,0,f,50,1995,0,3
55+,none,belted,1,f,54,1991,0,3
55+,none,belted,0,f,26,1990,0,4
55+,airbag,none,1,f,41,1992,1,1
55+,none,belted,1,f,55,1992,0,3
40-54,airbag,belted,0,m,38,1994,1,3
25-39,none,none,1,m,16,1994,0,0
25-39,none,none,1,f,17,1994,0,0
40-54,none,belted,0,m,42,1988,0,3
55+,none,belted,0,m,37,1992,0,2
25-39,airbag,belted,0,m,37,1994,0,2
40-54,airbag,belted,1,m,18,1997,1,3
55+,none,none,0,m,18,1986,0,3
25-39,none,belted,0,f,72,1981,0,1
25-39,none,none,0,f,70,1981,0,3
25-39,none,none,1,m,28,1986,0,1
25-39,none,none,1,m,37,1986,0,2
40-54,airbag,belted,0,f,27,1995,0,1
40-54,none,none,0,f,19,1989,0,1
40-54,none,none,1,m,77,1986,0,1
40-54,none,none,1,f,72,1986,0,2
25-39,none,none,0,m,68,1989,0,1
25-39,none,none,0,f,68,1989,0,3
25-39,airbag,none,1,f,43,1994,1,3
25-39,airbag,belted,1,m,26,1996,1,2
55+,airbag,none,0,f,41,1993,0,4
25-39,airbag,none,1,m,18,1997,1,1
25-39,airbag,none,1,m,18,1997,1,2
55+,airbag,none,0,m,21,1994,1,3
55+,airbag,none,0,f,22,1994,1,4
25-39,airbag,none,0,m,77,1996,0,3
40-54,airbag,belted,1,m,31,1994,1,2
55+,airbag,none,0,m,42,1994,1,3
55+,none,none,0,m,47,1994,0,4
25-39,none,none,1,m,64,1990,0,3
55+,airbag,belted,0,m,31,1995,1,3
40-54,none,belted,1,f,48,1985,0,3
40-54,airbag,none,0,f,36,1997,0,2
25-39,airbag,none,0,m,31,1996,1,2
40-54,airbag,belted,1,f,26,1994,1,1
25-39,none,none,1,m,17,1990,0,2
25-39,none,none,0,f,41,1990,0,3
55+,none,belted,1,m,53,1984,0,1
55+,airbag,belted,0,f,25,1994,1,4
55+,none,belted,0,m,27,1994,0,2
40-54,airbag,none,1,m,23,1997,1,2
40-54,airbag,none,1,m,28,1995,1,2
40-54,airbag,none,1,m,27,1995,1,4
25-39,none,none,1,m,50,1988,0,4
25-39,none,belted,0,m,57,1994,0,3
40-54,airbag,none,1,m,29,1997,1,0
40-54,airbag,none,1,m,28,1994,0,3
25-39,airbag,belted,1,m,29,1994,1,2
25-39,airbag,none,1,f,25,1997,1,2
40-54,none,belted,0,f,69,1986,0,1
40-54,none,belted,0,f,67,1986,0,1
40-54,airbag,belted,1,m,47,1996,1,3
25-39,airbag,none,0,m,18,1995,0,3
25-39,none,none,0,f,19,1992,0,3
25-39,airbag,none,0,m,17,1995,1,1
25-39,airbag,none,0,m,18,1995,1,1
25-39,none,belted,1,m,23,1990,0,1
25-39,none,none,1,m,29,1990,0,1
25-39,none,belted,0,m,55,1989,0,3
40-54,none,belted,1,f,44,1992,0,1
25-39,none,belted,1,f,25,1989,0,1
40-54,none,none,1,m,26,1986,0,0
40-54,none,belted,0,f,74,1988,0,1
40-54,none,none,1,m,49,1982,0,2
40-54,airbag,belted,0,m,75,1995,1,3
40-54,airbag,belted,0,f,71,1995,1,3
25-39,none,none,1,m,50,1985,0,2
25-39,airbag,none,0,f,44,1992,1,1
25-39,airbag,belted,1,m,37,1996,1,3
40-54,none,belted,1,m,59,1985,0,0
40-54,airbag,none,0,m,26,1995,0,4
25-39,none,none,1,f,21,1994,0,1
25-39,none,none,1,m,20,1994,0,2
40-54,none,none,1,m,70,1988,0,2
40-54,none,none,0,m,41,1984,0,2
40-54,none,none,0,f,20,1984,0,4
55+,none,none,1,m,35,1984,0,3
40-54,airbag,none,0,f,16,1994,0,1
40-54,airbag,belted,1,m,32,1996,1,1
40-54,airbag,belted,1,f,25,1996,1,1
40-54,none,none,1,f,35,1984,0,5
25-39,none,none,1,m,59,1994,0,3
25-39,airbag,belted,1,m,26,1995,1,1
40-54,airbag,none,1,f,67,1997,1,3
40-54,airbag,belted,1,f,61,1992,1,2
40-54,none,belted,0,f,28,1989,0,0
40-54,none,none,1,m,70,1991,0,4
40-54,none,belted,1,m,37,1985,0,1
25-39,none,belted,0,m,71,1986,0,3
40-54,airbag,belted,1,f,36,1994,1,1
40-54,none,belted,0,f,36,1991,0,5
40-54,none,belted,0,f,28,1991,0,5
40-54,airbag,belted,1,m,70,1994,1,2
40-54,airbag,none,1,f,64,1994,1,1
40-54,airbag,belted,0,m,28,1996,0,1
40-54,airbag,none,1,m,49,1992,1,1
40-54,none,none,0,f,46,1987,0,0
40-54,none,none,0,f,79,1987,0,3
25-39,none,none,1,m,20,1988,0,2
25-39,none,belted,1,f,35,1986,0,3
40-54,none,belted,0,m,43,1988,0,0
40-54,none,belted,1,m,19,1986,0,1
40-54,none,none,1,m,38,1991,0,4
40-54,none,belted,1,f,47,1989,0,1
40-54,none,belted,1,f,34,1989,0,1
40-54,airbag,none,1,m,37,1995,0,0
40-54,none,belted,0,f,19,1993,0,0
40-54,none,belted,1,m,32,1992,0,0
40-54,none,belted,0,f,17,1988,0,2
40-54,none,belted,0,f,17,1988,0,3
40-54,none,none,0,m,41,1987,0,0
40-54,airbag,none,1,f,47,1992,1,0
40-54,airbag,belted,1,m,23,1995,0,0
40-54,airbag,belted,1,f,23,1993,1,0
25-39,none,none,0,m,82,1981,0,5
25-39,none,belted,0,f,77,1981,0,4
25-39,none,none,0,m,74,1988,0,3
